DRAMP_ID,helix_percent,sheet_percent,loop_percent,mean_bfactor,mean_gyrate,num_hbonds,psa,sasa
DRAMP21482,0.06611111111111109,0.0122222222222222,-0.07833333333333348,2.863689891617753,-1.1536490406754627,0.0,14.42071533203125,-76.34141399926716
DRAMP21483,0.0955555555555555,-0.050555555555555604,-0.04499999999999993,41.73763353095481,-1.4298741578463066,0.0,-18.49896240234375,-93.0987261384214
DRAMP21484,0.035,0.011111111111111101,-0.04611111111111099,-170.37624080543029,1.0580711468974133,0.0,6.00604248046875,47.564306217544754
DRAMP21485,0.0627777777777777,0.010555555555555499,-0.07333333333333336,288.7094356687074,-1.166724632194395,0.0,-32.03009033203125,-132.373803506674
DRAMP21486,0.1625,0.004999999999999999,-0.1675000000000001,14.303811070778295,-0.1494891982262434,0.0,-15.2000732421875,-90.23282875405243
DRAMP21487,0.174375,0.00125,-0.17562500000000003,159.58029965906172,-1.0914247966817001,1.0,-19.5487060546875,-114.92073612538525
DRAMP21488,0.0,0.00125,-0.0012499999999999734,109.96572935343923,-0.5815397769283166,0.0,-7.04034423828125,-41.29472426054144
DRAMP21489,-0.08499999999999999,0.00375,0.08125000000000004,-59.77290808273507,-0.7025589544573059,0.0,-11.26043701171875,-101.7434596900166
DRAMP21490,0.01875,0.0,-0.018750000000000044,20.89612280581136,-0.7207292978004496,0.0,-26.5050048828125,-45.899146185377504
DRAMP21491,0.0,0.075,-0.07499999999999996,34.13108439520555,-0.8808664088816158,1.0,-12.7249755859375,-42.14933658760583
DRAMP21492,0.0018749999999999878,0.0,-0.001875000000000071,-114.92732125772824,-0.8401991821969901,-1.0,4.0531005859375,-96.3253395298118
DRAMP21493,-0.050625,0.0,0.05062499999999992,42.005602093177814,-0.22489241560119133,-1.0,-20.2962646484375,-42.17176266470483
DRAMP21495,0.1373684210526315,0.0042105263157894,-0.14157894736842114,165.12538185676152,-2.966964893769548,-1.0,-29.96295166015625,-184.5814841618535
DRAMP21496,0.0410526315789473,0.0431578947368421,-0.08421052631578962,-41.49655507579112,-0.8175568238514099,1.0,-18.97650146484375,-86.21277485815381
DRAMP21497,0.11000000000000001,0.0,-0.11000000000000021,164.99723193342956,-1.3382763567109706,-2.0,-0.51861572265625,-128.91124248640176
DRAMP21498,0.1026315789473684,0.0094736842105263,-0.11210526315789493,133.9063386953926,-0.25607247950613043,1.0,2.7344970703125,-64.26550260915974
DRAMP21499,0.1189473684210526,-0.0010526315789473,-0.11789473684210527,-49.06473071686591,-0.5789400924451638,0.0,14.37994384765625,-83.54894651277641
DRAMP21500,-0.0273684210526315,0.0178947368421052,0.00947368421052619,66.50602189544676,0.10510896260972658,-1.0,-5.47149658203125,-54.43344055934722
DRAMP21501,0.0131578947368421,0.0357894736842105,-0.04894736842105285,52.72947106638523,-1.0961756955747948,0.0,6.3729248046875,-154.8426587568356
DRAMP21504,0.22791666666666668,-0.0008333333333333,-0.2270833333333332,-111.94011563141953,-0.25693908652367803,-1.0,-33.08740234375,-96.32930108366827
DRAMP21505,0.055416666666666614,0.01,-0.06541666666666657,36.80009548408276,-6.444178951183465,0.0,-36.186645507812386,-362.6951184643849
DRAMP21506,-0.021250000000000005,0.0108333333333333,0.01041666666666674,-134.1817030580931,-1.8761298043088814,0.0,-26.36260986328125,-97.93060764085612
DRAMP21507,0.01875,0.0716666666666666,-0.09041666666666603,-83.34511923413788,-3.048610553742831,-1.0,16.164794921875,-180.36900565876567
DRAMP21508,0.1525,0.0025,-0.15500000000000025,-93.72827274989766,-5.009702281138932,0.0,-47.2945556640625,-324.19509579238775
DRAMP21509,0.1008333333333333,-0.010000000000000002,-0.09083333333333332,6.913000754771076,-1.7358714543633713,-1.0,-39.15313720703125,-177.57514053602313
DRAMP21510,0.16,0.04,-0.19999999999999996,-362.476019136979,-0.3070752999265576,1.0,-60.15765380859375,-132.97372860136556
DRAMP21511,0.032083333333333394,-0.025833333333333396,-0.006250000000000311,4.017489043040769,-0.7457168673999455,3.0,-22.362121582031136,-131.1553853188948
DRAMP21512,0.0795833333333333,-0.028333333333333405,-0.05125000000000002,164.28556059505206,-0.4693861575641449,0.0,-39.89532470703125,-45.26671653399444
DRAMP21513,0.00375,0.021666666666666598,-0.02541666666666642,-167.99259189757655,-1.258301900004012,2.0,-17.63604736328125,-72.16647748193759
DRAMP21514,0.06874999999999999,-0.0033333333333333028,-0.06541666666666635,-365.60748401798054,-3.084344242904722,-1.0,-44.557739257812386,-314.8937209979854
DRAMP21515,0.00625,0.0529166666666666,-0.05916666666666659,156.2340625844733,-2.4004693293536725,0.0,-21.98095703125,-192.52109251749653
DRAMP21516,0.205,0.0016666666666667,-0.20666666666666655,-99.58755411439603,1.6347190712735191,0.0,-32.781005859375,-32.45282632899443
DRAMP21517,0.027500000000000004,0.012499999999999999,-0.040000000000000036,362.90665413566336,-5.923764139482778,1.0,-36.524353027343636,-293.55539530109604
DRAMP21518,0.0175,0.0125,-0.030000000000000027,197.9226908181924,-1.6951114992645149,1.0,30.418701171874886,-74.54008654103836
DRAMP21519,0.0,-0.01875,0.018749999999999822,-263.97574162026456,-4.521721635378588,1.0,-15.81121826171875,-433.9444607812943
DRAMP21520,0.265,-0.0016666666666666,-0.263333333333333,-250.63097018272856,-1.764790045826464,0.0,-39.3565673828125,-206.9633226142662
DRAMP21521,0.1645833333333333,-0.0091666666666667,-0.15541666666666654,-238.18443124201605,-2.43452769604046,1.0,-52.335754394531364,-281.54075402272383
