DRAMP_ID,feature,rep1,rep2,delta,abs_delta,rel_pct
DRAMP21541,helix_percent,0.2327272727272727,0.2154545454545454,-0.0172727272727273,0.0172727272727273,-7.421875000000013
DRAMP21541,sheet_percent,0.0,0.003030303030303,0.003030303030303,0.003030303030303,
DRAMP21541,loop_percent,0.7672727272727273,0.7815151515151516,0.014242424242424279,0.014242424242424279,1.856240126382311
DRAMP21541,mean_bfactor,701.5301598370602,810.6392148219452,109.109054984885,109.109054984885,15.553009867776327
DRAMP21541,mean_gyrate,18.267847310472906,17.892396385427137,-0.3754509250457687,0.3754509250457687,-2.0552554368599507
DRAMP21541,num_hbonds,2.0,0.0,-2.0,2.0,-100.0
DRAMP21541,psa,1632.646484375,1658.2606201171875,25.6141357421875,25.6141357421875,1.56887213412847
DRAMP21541,sasa,3447.248393256627,3384.294231316313,-62.95416194031395,62.95416194031395,-1.82621484612082
DRAMP21542,helix_percent,0.0370833333333333,0.0816666666666666,0.044583333333333294,0.044583333333333294,120.2247191011236
DRAMP21542,sheet_percent,0.0049999999999999,0.0066666666666666,0.0016666666666667,0.0016666666666667,33.333333333334664
DRAMP21542,loop_percent,0.9579166666666667,0.9116666666666666,-0.046250000000000124,0.046250000000000124,-4.828186167899099
DRAMP21542,mean_bfactor,456.190582042614,866.9585581563911,410.7679761137771,410.7679761137771,90.04306364119682
DRAMP21542,mean_gyrate,9.820373689563857,10.893016557535312,1.0726428679714548,1.0726428679714548,10.92262781314886
DRAMP21542,num_hbonds,1.0,1.0,0.0,0.0,0.0
DRAMP21542,psa,983.2530517578124,960.299072265625,-22.953979492187386,22.953979492187386,-2.3344935925854866
DRAMP21542,sasa,2040.103148610272,2079.992993668986,39.889845058713945,39.889845058713945,1.9552856965044683
DRAMP21558,helix_percent,0.0,0.0,0.0,0.0,
DRAMP21558,sheet_percent,0.0,0.0,0.0,0.0,
DRAMP21558,loop_percent,1.0,1.0,0.0,0.0,0.0
DRAMP21558,mean_bfactor,18.76937403595304,5.641569960344746,-13.127804075608292,13.127804075608292,-69.9426845586953
DRAMP21558,mean_gyrate,6.961015856787576,7.176866653750414,0.2158507969628385,0.2158507969628385,3.100851964765542
DRAMP21558,num_hbonds,0.0,0.0,0.0,0.0,
DRAMP21558,psa,329.829345703125,336.7000427246094,6.870697021484375,6.870697021484375,2.0831066462074594
DRAMP21558,sasa,923.6890496570396,935.7372632364714,12.048213579431831,12.048213579431831,1.304358169440816
